Nombre;Dirección;Código Postal;Teléfono;Fax;Email;Tipo de organización;Ámbito territorial;Sector de población;Ámbito de actuación;Actividades;Función principal;Función secundaria
FUNDACION PUEBLOS HERMANOS;MADARIAGA                                                                                       47     2  1  C;48014;915173171;914734379;proyectos@puebloshermanos.org.es;FUNDACION;ESTADO;MUJER,POBLACION EN GENERAL,INFANCIA;COOPERACIÓN INTERNACIONAL;PROYECTOS DE COOPERACION;SOLIDARIDAD;;
5 DE OCTUBRE ASOC DE DOCENTES JUBILADOS DE BIZKAIA-BIZKAIKO IRAKASLE JUBILATUEN ELKARTEA;ASTURIAS                                                                                         9;48015;686127359;;a.5deoctubre@gmail.com;ASOCIACION;BIZKAIA;TERCERA EDAD;INTERVENCIÓN SOCIAL,EDUCACIÓN Y EMPLEO,PROFESIONALES;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,BAILES,VISITAS CULTURALES/EXCURSIONES,VISITAS GUIADAS,GRUPO DE ARTES ESCENICAS;SERVICIOS A LOS SOCIOS;;
SOS BEBES ROBADOS EUSKADI;AGUIRRE LEHENDAKARI                                                                   91        7  CN;48015;943577182;943577182;paisvasco@sosbebesrobados.es;ASOCIACION;COMUNIDAD AUTONOMA;MUJER,POBLACION EN GENERAL,INFANCIA,PADRES Y MADRES/FAMILIAS;SOCIEDAD,BARRIO,INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,ASESORIA JURIDICA,LUGAR DE ENCUENTRO,SENSIBILIZACION:CONCEN,MANIF,CENTRO DE DOCUMENTACION,AYUDA SOCIAL,RECURSOS/FONDO BIBLIOGRAFICO,SERVICIO ESTADISTICO/DE DATOS,PUBLICACIONES;REPRESENTACION Y/O DEFENSA;PROTECCION,OTROS,SOLIDARIDAD,SERVICIOS A LOS SOCIOS;
ASOC PENTSIONISTAK MARTXAN;TRAUKO                                                                                             27        EP;48007;944457846;;pentsionistak.martxan@gmail.com;ASOCIACION;BIZKAIA;TERCERA EDAD;INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO;REPRESENTACION Y/O DEFENSA;;
AUÑAMENDI KULTUR ELKARTEA/ASOCIACION CULTURAL AUÑAMENDI;BAILEN                                                                                             7         -1;48003;676598230;;;ASOCIACION;COMUNIDAD AUTONOMA Y  NAVARRA;POBLACION EN GENERAL;CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,PUBLICACIONES;CREACION DE OPINION;SERVICIOS A LOS CIUDADANOS;
ASOC KOKOTEAN KOLPE KULTUR ELKARTEA;ARENAL CELESTINO M. DEL                                                           9         05 C;48015;946001482;;ealvarez@suspergintza.net;ASOCIACION;DISTRITO 1 DEUSTO;POBLACION EN GENERAL;INTERVENCIÓN SOCIAL,CULTURA;ACTIV.FORMATIVAS/EDUCATIVAS,ACTIVIDADES DE ANIMACION,FIESTAS,COLABORACION CON OTRAS ASOCIAC;SERVICIOS A LOS CIUDADANOS;SOLIDARIDAD,PROMOCION;
ASOC "FUENTESILA" ASOC CULTURAL FILOSOFICA Y CIENTIFICA;CIUDAD JARDIN                                                                               96;48007;685744332;;nuria.cartey@gmail.com;ASOCIACION;BILBAO;POBLACION EN GENERAL;CULTURA;PROYECCIONES,SERVICIOS SOCIOEDUCATIVOS;OTROS;;
ASOC DE APOYO DE SIERRA LEONA UNIDOS;MIRIBILLA                                                                                       5         02;48003;6006685212;;sierraleona.com@hotmail.com;ASOCIACION;COMUNIDAD AUTONOMA;POB. INMIGRANTE Y AUTOCTONA;INTERVENCIÓN SOCIAL,CULTURA,DEPORTIVAS,SOCIEDAD,COOPERACIÓN INTERNACIONAL;SERV.INFORMACION/ASESORAMIENTO,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,BAILES,VISITAS CULTURALES/EXCURSIONES,PISO ACOGIDA/VIVIENDA TUTELADA,CENTRO DE DIA,GRUPOS FOLKLORICOS,PROYECTOS DE COOPERACION,JUGAR PARTIDOS;AYUDA MUTUA;SOLIDARIDAD,SERVICIOS A LOS SOCIOS;
FARMACEUTICOS MUNDI;CONCHA GENERAL                                                                             8         PP;48008;946401160;;euskadi@farmamundi.org;ASOCIACION;INTERNACIONAL;POBLACION EN GENERAL;COOPERACIÓN INTERNACIONAL;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS,EXPOSICIONES,PROYECTOS DE COOPERACION;SOLIDARIDAD;;
HARRERA TALDEA ELKARTE ASISTENTZIALA;JARDINES                                                                                         10        1;48005;688665647;;bizkaiharrera7@gmail.com;ASOCIACION;INTERNACIONAL;MARGINADOS/EXCLUIDOS/AS,PARADOS/AS;SOCIEDAD,EDUCACIÓN Y EMPLEO,INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO,ASESORIA JURIDICA,SENSIBILIZACION:CONCEN,MANIF,COLABORACION LANGAI,SERVICIO ATENCION/ASISTENCIA,SERVICIO DE ACOGIDA,GRUPOS DE AUTOAPOYO;SOLIDARIDAD;PROTECCION,NORMALIZACION,REPRESENTACION Y/O DEFENSA,CREACION DE OPINION;
OTXOTE LUR MAITEA ELKARTEA;VIA VIEJA DE LEZAMA                                                                   2         03 C;48007;660150983;;otxotelurmaitea@gmail.com;ASOCIACION;COMUNIDAD AUTONOMA;SOCIOS/AS;CULTURA;CORO;CREACION ARTISTICA;;
C.D. DE BALONCESTO AMIGOS DE OTXARKOAGA DE BILBAO;ARBOLANTXA                                                                                     3      DR 04 D;48004;944118943;;victorherbosa@hotmail.com;ASOCIACION;DISTRITO 3 OTXARKOAGA-TXURD.;HOMBRES,JUVENTUD/ESTUDIANTES,INFANCIA Y JUVENTUD,ADULTOS/AS,MUJER,POBLACION EN GENERAL,SOCIOS/AS;DEPORTIVAS;ORGANIZACION EVENTOS DEPORTIVO,JUGAR PARTIDOS,COMPETICIONES DEPORTIVAS;OTROS;EDUCAR,SERVICIOS A LOS SOCIOS;
IRITZIA BILDUZ JENDARTE IKERKUNTZARAKO ELKARTEA;UNAMUNO MIGUEL                                                                             1         5  D;48006;944203524;;bilduauzoak@gmail.com;ASOCIACION;BILBAO;ADULTOS/AS;BARRIO,SOCIEDAD,PROFESIONALES;SERV.INFORMACION/ASESORAMIENTO,REALIZACIàN DE ESTUDIOS,DIVULGACION:CHARLAS,CAMPAÑAS,JORNADAS TEMATICAS/CERTAMENES,SENSIBILIZACION:CONCEN,MANIF;ESTUDIOS/INVESTIGACION;CREACION DE OPINION;
ASOC MUSICAL JOVEN ORQUESTA DE BILBAO BILBOCAMERATA ELKARTEA;ARANA SABINO                                                                                 47        7;48013;944413976;;ibone_mendia@hotmail.com;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL;CULTURA,SOCIEDAD;ACTIV.OCIO,CULTURALES,TALLERES,REPRESEN/RECITALES/CONCIERTOS;CREACION ARTISTICA;;
ASOC CULTURAL AMIGOS DE LAS BILBAINADAS;RODRIGUEZ ARIAS                                        60        6  B;48013;946024949;;antetxepor@euskalnet.net;ASOCIACION;INTERNACIONAL;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,ACTIVIDADES DE ANIMACION,FIESTAS,REPRESEN/RECITALES/CONCIERTOS,RESIDENCIA,GRUPOS FOLKLORICOS,CORO;CREACION ARTISTICA;;
ASOC PSICOEDUCATIVA ZUREBIDE PSIKOHEZKUNTZA ELKARTEA;SANTUTXU                                                                                         26        1;48004;688866336;;asociacion@zurebide.org;ASOCIACION;BIZKAIA;INFANCIA Y JUVENTUD,PADRES Y MADRES/FAMILIAS,MONOPARENTALES,MUJER;BARRIO,INTERVENCIÓN SOCIAL;DIVULGACION:CHARLAS,CAMPAÑAS,SENSIBILIZACION:CONCEN,MANIF,SERVICIO DE ORIENTACION,TERAPIAS /REHABILITACION,SERVICIO ATENCION A LA MUJER,ESCUELA DE PADRES/MADRES,SERVICIOS SOCIOEDUCATIVOS;AYUDA MUTUA;PROTECCION,PREVENCION;
ASOC BAI EUSKARARI ZIURTAGIRIAREN SUSTAPENERAKO ELKARTEA;LUZARRA                                                                                           10        2  1;48014;902430026;;info@baieuskarari.eus;ASOCIACION;COMUNIDAD AUTONOMA Y  NAVARRA;POBLACION EN GENERAL,OTROS,PROFESIONALES;INTERVENCIÓN SOCIAL;ENTREGA DE CREDENCIALES;PROMOCION;;
ASOC PROYECTO MATERNITY DE AYUDA A LA MUJER EMBARAZADA;OREJA MARCELINO                                                                           5         3  A;48010;946430906;;administracion@proyectomaternity.org;ASOCIACION;ESTADO;MONOPARENTALES,MUJER,POB. INMIGRANTE Y AUTOCTONA,MARGINADOS/EXCLUIDOS/AS,REFUGIADOS/AS,INFANCIA,PADRES Y MADRES/FAMILIAS;INTERVENCIÓN SOCIAL,EDUCACIÓN Y EMPLEO,SOCIEDAD;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS,ASESORIA JURIDICA,LUDOTECA,CENTRO DE DIA,SENSIBILIZACION:CONCEN,MANIF,SERVICIO DE ORIENTACION,TERAPIAS /REHABILITACION,SERVICIO MEDICO,AYUDAS MATERIALES,RECOGIDA DE ROPA,RECOGIDA Y ENTREGA DE ALIMENTO,AYUDA SOCIAL,MEDIACION FAMILIAR,MEDIACION EN CONFLICTOS,INFO/ORIENT EMPLEO Y FORMACION,ACOMPAÑAMIENTO,SERVICIO ATENCION/ASISTENCIA,SERVICIO ATENCION A LA MUJER,PROG.INSERCION LABORAL Y/O SOC,SERV. PLANIFICACION FAMILIAR,SERVICIO DE ACOGIDA,COMERCIO JUSTO;SOLIDARIDAD;PROTECCION,EDUCAR,PROMOCION,SERVICIOS A LOS CIUDADANOS;
ASOC AMIGOS MIRA ESPAÑA;IRALA                                                                                               26     A  1;48012;603907246;;bilbao@amigosmira.es;ASOCIACION;ESTADO;MUJER,POB. INMIGRANTE Y AUTOCTONA,MARGINADOS/EXCLUIDOS/AS,PADRES Y MADRES/FAMILIAS,MINUSVALIDOS/AS,POBLACION EN GENERAL,INFANCIA,JUVENTUD/ESTUDIANTES,INFANCIA Y JUVENTUD,TERCERA EDAD,ADULTOS/AS;COOPERACIÓN INTERNACIONAL,PROFESIONALES,SALUD,INTERVENCIÓN SOCIAL,CULTURA,DEPORTIVAS,EDUCACIÓN Y EMPLEO;SERV.INFORMACION/ASESORAMIENTO,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,JORNADAS TEMATICAS/CERTAMENES,ACTIVIDADES DE ANIMACION,ASESORIA JURIDICA,SERVICIO DE ORIENTACION,AYUDA SOCIAL,SERVICIO ATENCION/ASISTENCIA,ORGANIZACION EVENTOS DEPORTIVO;SOLIDARIDAD;AYUDA MUTUA,OTROS,EDUCAR,REPRESENTACION Y/O DEFENSA,PROMOCION,SERVICIOS A LOS SOCIOS;
SOZIOLINGUISTIKA KLUSTERRA;LUZARRA                                                                                           10;48014;943592556;;kluster@soziolinguistika.org;AGRUPACION DE ASOCIACIONES;COMUNIDAD AUTONOMA Y  NAVARRA;POBLACION EN GENERAL,INFANCIA,PROFESIONALES,JUVENTUD/ESTUDIANTES;CULTURA;SERVICIOS PROFESIONALES;NORMALIZACION;OTROS;
ASOC INSTITUTO EUROPEO DE ESTUDIOS Y ACCION INTERNACIONAL;RONDA                                                                                               24        01 B;48005;944161833;;inurrigorriak@gmail.com;ASOCIACION;BIZKAIA,COMUNIDAD AUTONOMA,COMUNIDAD AUTONOMA Y  NAVARRA,BILBAO;REFUGIADOS/AS,EUSKALDUNES,POBLACION EN GENERAL,INFANCIA,JUVENTUD/ESTUDIANTES,MUJER,MARGINADOS/EXCLUIDOS/AS;CULTURA,SOCIEDAD,INTERVENCIÓN SOCIAL,TIEMPO LIBRE,BARRIO,SALUD,EDUCACIÓN Y EMPLEO,COOPERACIÓN INTERNACIONAL;SERV.INFORMACION/ASESORAMIENTO,REALIZACIàN DE ESTUDIOS,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,JORNADAS TEMATICAS/CERTAMENES,EXPOSICIONES,SENSIBILIZACION:CONCEN,MANIF,AYUDAS MATERIALES,CENTRO DE DOCUMENTACION,AYUDA SOCIAL,MEDIACION EN CONFLICTOS,COLABORACION CON OTRAS ASOCIAC,PUBLICACIONES,INTERCAMBIOS JUVENILES,SERVICIOS SOCIOEDUCATIVOS,COLABORACION CON PUBLICACIONES,INFORM. Y/O FORM. VOLUNTARIOS,PROYECTOS DE COOPERACION,COMERCIO JUSTO;SOLIDARIDAD;ESTUDIOS/INVESTIGACION,OTROS,PROMOCION,CREACION DE OPINION,PREVENCION;
ASOC CLUB BILBAO ARETOKO DANTZA TARA;SANTUTXU                                                                                         40        LJ;48004;944464553;;info@bilbotara.com;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA,DEPORTIVAS;BAILES,COMPETICIONES DEPORTIVAS;PROMOCION;OTROS;
ASOC CULTURAL MIDJI-RAICES;URIBARRI                                                                                         28        LJ;48007;698250173;;nsue_mba@yahoo.es;ASOCIACION;DISTRITO 2 URIBARRI;POBLACION EN GENERAL;CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,FIESTAS,REPRESEN/RECITALES/CONCIERTOS,BAILES,LUGAR DE ENCUENTRO;CREACION ARTISTICA;OTROS;
ASOC MATIZ EDUCACION EN VALORES PARA UNA CONVIVENCIA SOCIAL Y ECONOMICA Y AMBIENTALMENTE SOSTENIBLE;ARTEKALE                                                                                         7         4  DH;48005;944156185;;asoc.matiz@gmail.com;ASOCIACION;ESTADO;MUJER,POB. INMIGRANTE Y AUTOCTONA,REFUGIADOS/AS,INFANCIA,JUVENTUD/ESTUDIANTES,INFANCIA Y JUVENTUD,ADULTOS/AS,PADRES Y MADRES/FAMILIAS;INTERVENCIÓN SOCIAL,SOCIEDAD,EDUCACIÓN Y EMPLEO;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS,RECURSOS/FONDO BIBLIOGRAFICO,PUBLICACIONES,PROYECTOS DE COOPERACION;EDUCAR;PROTECCION,SOLIDARIDAD,CREACION DE OPINION,ESTUDIOS/INVESTIGACION;
ASOCIACION DE MADRES Y PADRES DE ALUMNOS Y ALUMNAS DEL COLEGIO TRUEBA DE ARCHANDA;ARTXANDA-SANTO DOMINGO                                                             15;48015;688810921;;ampa@colegiotrueba.net;ASOCIACION;BIZKAIA;JUVENTUD/ESTUDIANTES,INFANCIA Y JUVENTUD,PADRES Y MADRES/FAMILIAS;EDUCACIÓN Y EMPLEO;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,JORNADAS TEMATICAS/CERTAMENES,ACTIVIDADES DE ANIMACION,FIESTAS,VISITAS CULTURALES/EXCURSIONES,ESCUELA DE PADRES/MADRES,COMPETICIONES DEPORTIVAS;SERVICIOS A LOS SOCIOS;;
ASOC DE TRABAJADORES DE REKALDE LANEGIA;BELATEGI                                                                                         2         01 C;48002;617528846;;asociaciontrabajadoresrekalde@gmail.com;ASOCIACION;BIZKAIA;PARADOS/AS;EDUCACIÓN Y EMPLEO;INFO/ORIENT EMPLEO Y FORMACION;OTROS;;
ASOC VISION PARA LA REHABILITACION Y REINSERCION SOCIAL;ARANA SABINO                                                                                 36;48013;946411050;;visionasociacion@gmail.com;ASOCIACION;COMUNIDAD AUTONOMA;MARGINADOS/EXCLUIDOS/AS,PARADOS/AS,POBLACION EN GENERAL;INTERVENCIÓN SOCIAL;DIVULGACION:CHARLAS,CAMPAÑAS,SERVICIO DE COMIDAS,TERAPIAS /REHABILITACION,RECOGIDA DE VARIOS,RECOGIDA Y ENTREGA DE ALIMENTO,AYUDA SOCIAL,SERVICIO DE TOXICOMANIAS;SOLIDARIDAD;SERVICIOS A LOS CIUDADANOS,PREVENCION;
ASOCIACION INTERNACIONAL TELEFONO DE LA ESPERANZA;CONSTANTINO TENOR                                                                       9         03 D;48003;670289072;;bilbao@telefonodelaesperanza.org;ASOCIACION;BIZKAIA,INTERNACIONAL;POBLACION EN GENERAL;SALUD,INTERVENCIÓN SOCIAL,SOCIEDAD,COOPERACIÓN INTERNACIONAL;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS,SERVICIO DE ORIENTACION,TERAPIAS /REHABILITACION,SERV. DE SALUD MENTAL,GRUPOS DE AUTOAPOYO,INFORM. Y/O FORM. VOLUNTARIOS,PROYECTOS DE COOPERACION;SERVICIOS A LOS CIUDADANOS;OTROS,EDUCAR,PROMOCION,SERVICIOS A LOS SOCIOS,PREVENCION;
GAURKOTUZ ASOC PARA LA FORMACION PERMANENTE Y LA INSERCION LABORAL EN EL AMBITO SOCIOCULTURAL;ARBOLAGANA                                                                                     2;48015;619525596;;gaurkotuz@gmail.com;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL,SOCIOS/AS;CULTURA,EDUCACIÓN Y EMPLEO;ACTIVIDADES DE ANIMACION,INFO/ORIENT EMPLEO Y FORMACION,INTERCAMBIOS JUVENILES,SERVICIOS SOCIOEDUCATIVOS;PROMOCION;SERVICIOS A LOS SOCIOS,SERVICIOS A LOS CIUDADANOS;
ASOC DE ANTROPOLOGIA APLICADA DEL PAIS VASCO EREMU;ZUMARRAGA                                                                                       1         2;48006;639782131;;santosalberdi@gmail.com;ASOCIACION;INTERNACIONAL;POBLACION EN GENERAL,PROFESIONALES,JUVENTUD/ESTUDIANTES,TERCERA EDAD,ADULTOS/AS;SALUD,INTERVENCIÓN SOCIAL,CULTURA,DEPORTIVAS,SOCIEDAD,EDUCACIÓN Y EMPLEO,COOPERACIÓN INTERNACIONAL,PROFESIONALES;SERV.INFORMACION/ASESORAMIENTO,REALIZACIàN DE ESTUDIOS,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,JORNADAS TEMATICAS/CERTAMENES,EXPOSICIONES,LUGAR DE ENCUENTRO,VISITAS CULTURALES/EXCURSIONES,SENSIBILIZACION:CONCEN,MANIF,RECURSOS/FONDO BIBLIOGRAFICO,COLABORACION CON OTRAS ASOCIAC,VISITAS GUIADAS,PUBLICACIONES,INTERCAMBIOS JUVENILES,REVISTA,COLABORACION CON PUBLICACIONES;ESTUDIOS/INVESTIGACION;OTROS,EDUCAR,SOLIDARIDAD,CREACION DE OPINION;
FUNDACION OSATU-OSATU FUNDAZIOA;HURTADO DE AMEZAGA                                                                     27        07;48008;944223889;;osatu_org@yahoo.es;FUNDACION;BILBAO;MUJER,MONOPARENTALES;INTERVENCIÓN SOCIAL;SERV.INFORMACION/ASESORAMIENTO,PISO ACOGIDA/VIVIENDA TUTELADA,SERVICIO DE ORIENTACION,INFO/ORIENT EMPLEO Y FORMACION,SERVICIO DE ATENCION INMEDIATA,ACOMPAÑAMIENTO,SERVICIO ATENCION A LA MUJER;NORMALIZACION;PROTECCION,PREVENCION;
ASOC ESPERANZA BIPOLAR PARA LA INVESTIGACION PSICOSOCIAL DEL TRASTORNO BIPOLAR;MIGOYA ELISEO                                                                               14        BJ;48014;633664788;;esperanzabipolar@hotmail.com;ASOCIACION;COMUNIDAD AUTONOMA;AFECTADOS/ENFERMOS/AS;SALUD;ACTIV.FORMATIVAS/EDUCATIVAS,GRUPOS DE AUTOAPOYO;AYUDA MUTUA;NORMALIZACION,SOLIDARIDAD,ESTUDIOS/INVESTIGACION;
FUNDACION TIERRA DE HOMBRES ESPAÑA;PATXI AITA                                                                                     6         01 A;48015;944623729;;deleg.euskadi@tierradehombres.org;FUNDACION;INTERNACIONAL;INFANCIA;COOPERACIÓN INTERNACIONAL;DIVULGACION:CHARLAS,CAMPAÑAS,EXPOSICIONES,SENSIBILIZACION:CONCEN,MANIF,REVISTA;SOLIDARIDAD;;
ASOC PARA EL FOMENTO DEL APRENDIZAJE GENERATIVO;BILBAO LA VIEJA                                                                           3         4;48003;634206667;;asfagen@gmail.com;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL,JUVENTUD/ESTUDIANTES,ADULTOS/AS,PADRES Y MADRES/FAMILIAS;CULTURA,EDUCACIÓN Y EMPLEO;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,ESCUELA DE PADRES/MADRES;EDUCAR;PROMOCION,SERVICIOS A LOS CIUDADANOS,PREVENCION;
ASOC CULTURAL DOOS COLECTIVO;PELOTA                                                                                             4;48005;649110226;;info@dooscolectivo.es;ASOCIACION;INTERNACIONAL,BILBAO;POBLACION EN GENERAL,ADULTOS/AS;CULTURA;SERV.INFORMACION/ASESORAMIENTO,ACTIV.OCIO,CULTURALES,TALLERES,GRUPO DE ARTES ESCENICAS;CREACION ARTISTICA;;
ASOC VASCA DE SALUD MENTAL "ASVASAM" DE BILBAO (BIZKAIA);SANTUTXU                                                                                         19        04;48004;944331508;;info@asvasam.org;ASOCIACION;COMUNIDAD AUTONOMA Y  NAVARRA;PARADOS/AS,POBLACION EN GENERAL,OTROS;SALUD,INTERVENCIÓN SOCIAL,SOCIEDAD,EDUCACIÓN Y EMPLEO;SERV.INFORMACION/ASESORAMIENTO,DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.FORMATIVAS/EDUCATIVAS,SENSIBILIZACION:CONCEN,MANIF,SERVICIO DE ORIENTACION,AYUDA SOCIAL,AUTOEMPLEO/CREACION DE EMPRESA,COLABORACION CON OTRAS ASOCIAC,SERV. DE SALUD MENTAL;SERVICIOS A LOS CIUDADANOS;OTROS,EDUCAR,PREVENCION;
ASOC SANFRANJAI SAN FRANTZISKOKO JAI BATZORDEA COMISION DE FIESTAS DE SAN FRANCISCO;CORAZON DE MARIA                                                                         5         BJ;48003;944445466;;patximanrique@lasalle.es;ASOCIACION;DISTRITO 5 IBAIONDO;POBLACION EN GENERAL;BARRIO;ACTIV.OCIO,CULTURALES,TALLERES,ACTIVIDADES DE ANIMACION,FIESTAS,REPRESEN/RECITALES/CONCIERTOS;OTROS;;
MAHATSERRI EUSKAL KULTUR ELKARTEA;AIXEONA                                                                                           3         8  D;48004;674635698;;tabernaotxarkoaga@gmail.com;ASOCIACION;DISTRITO 3 OTXARKOAGA-TXURD.;EUSKALDUNES,POBLACION EN GENERAL,SOCIOS/AS;BARRIO,TIEMPO LIBRE,CULTURA;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,JORNADAS TEMATICAS/CERTAMENES,EXPOSICIONES,LUGAR DE ENCUENTRO;OTROS;CREACION ARTISTICA,SOLIDARIDAD,CREACION DE OPINION,SERVICIOS A LOS SOCIOS;
FUNDACION LEONARDO;EUSKALDUNA                                                                                     11        01;48008;944399269;944398704;administracion@fundacionleonardo.org;ASOCIACION;EUROPA;POBLACION EN GENERAL;EDUCACIÓN Y EMPLEO;INFO/ORIENT EMPLEO Y FORMACION;ESTUDIOS/INVESTIGACION;;
ASOC DE AMIGOS DEL ORGANO DE BIZKAIA DIEGO AMEZUA;UGARTEBURU JOSE MARIA                                                               5         BJ A;48007;656727694;;cepeda_miry@hotmail.com;ASOCIACION;BIZKAIA;POBLACION EN GENERAL;CULTURA;REPRESEN/RECITALES/CONCIERTOS;CREACION ARTISTICA;PROMOCION;
ATELEUS ASOC DE TELESPECTADORES USUARIOS Y CONSUMIDORES DE MEDIOS Y PRODUCTOS AUDIOVISUALES DE OCIO INFORMACION Y COMUNICACION;DIPUTACION                                             8         6;48008;946790952;;info@ateleus.com;ASOCIACION;COMUNIDAD AUTONOMA;POBLACION EN GENERAL,INFANCIA,JUVENTUD/ESTUDIANTES,INFANCIA Y JUVENTUD,PADRES Y MADRES/FAMILIAS;CULTURA,SOCIEDAD,EDUCACIÓN Y EMPLEO;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,JORNADAS TEMATICAS/CERTAMENES,ATENCION AL CONSUMIDOR;SERVICIOS A LOS CIUDADANOS;PROTECCION,EDUCAR,PROMOCION,CREACION DE OPINION,SERVICIOS A LOS SOCIOS;
ASOC DE INNOVACION CULTURAL MOVILTIK MOVILES PARA EL CAMBIO;GARAT TXOMIN                                                                                 16        01 A;48004;944396011;;joseluis@ubiqa.com;ASOCIACION;COMUNIDAD AUTONOMA;POB. INMIGRANTE Y AUTOCTONA,POBLACION EN GENERAL,JUVENTUD/ESTUDIANTES,TERCERA EDAD;CULTURA,SOCIEDAD,EDUCACIÓN Y EMPLEO,COOPERACIÓN INTERNACIONAL,INTERVENCIÓN SOCIAL;DIVULGACION:CHARLAS,CAMPAÑAS,ACTIV.OCIO,CULTURALES,TALLERES,SENSIBILIZACION:CONCEN,MANIF,PROYECTOS DE COOPERACION;SOLIDARIDAD;PROMOCION,CREACION DE OPINION,CREACION ARTISTICA;
ASOC CREADORES AUDIOVISUALES POR LA INTEGRACION;MIMBRES LOS                                                                                   2         13 D;48003;668806034;;maroyar5@hotmail.com;ASOCIACION;INTERNACIONAL;JUVENTUD/ESTUDIANTES;INTERVENCIÓN SOCIAL,CULTURA;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS;CREACION ARTISTICA;PROMOCION;
MUSIKAZ BLAI KULTUR ELKARTEA;RIBERA                                                                                             1         5;48005;665706850;;abasterra@gmail.com;ASOCIACION;BIZKAIA,DISTRITO 4  BEGOÑA,DISTRITO 5 IBAIONDO,BILBAO;INFANCIA,PADRES Y MADRES/FAMILIAS;BARRIO,TIEMPO LIBRE,CULTURA,EDUCACIÓN Y EMPLEO;ACTIV.OCIO,CULTURALES,TALLERES,ACTIV.FORMATIVAS/EDUCATIVAS,ACTIVIDADES DE ANIMACION,FIESTAS,REPRESEN/RECITALES/CONCIERTOS,AYUDA ESCOLAR,ESCUELA DE PADRES/MADRES;EDUCAR;NORMALIZACION,PROMOCION;
ASOC CULTURAL PARA LA ESTIMULCION DE PERSONAS MAYORES ACTIVAS GEMA;ITURRIBIDE                                                                                     80;48006;625709890;;gabrielgonzalez22@gmail.com;ASOCIACION;DISTRITO 4  BEGOÑA;TERCERA EDAD;INTERVENCIÓN SOCIAL;ACTIV.OCIO,CULTURALES,TALLERES,ACTIVIDADES DE ANIMACION;OTROS;;
ASOC LITERARIA EL TINTERO DE EVA;ELORRIETA                                                                                       7         01 A;48015;685755709;;bilso.sort@hotmail.com;ASOCIACION;BILBAO;MUJER;TIEMPO LIBRE;ACTIV.OCIO,CULTURALES,TALLERES;CREACION ARTISTICA;;
FUNDACION DIPER;FUNICULAR DEL                                                                               1;48007;944646447;;vberamendi@gmail.com;FUNDACION;INTERNACIONAL;AFECTADOS/ENFERMOS/AS;SALUD,INTERVENCIÓN SOCIAL,SOCIEDAD,EDUCACIÓN Y EMPLEO,COOPERACIÓN INTERNACIONAL;CENTRO DE DIA,TERAPIAS /REHABILITACION,INFO/ORIENT EMPLEO Y FORMACION,AUTOEMPLEO/CREACION DE EMPRESA,CENTROS Y/O TALL.OCUPACIONALES,PROG.INSERCION LABORAL Y/O SOC,PROYECTOS DE COOPERACION;SOLIDARIDAD;;
