Nombre,Fecha de inicio,Fecha de fin,Hora de inicio,Hora de fin,Barrio,Más información,Descripción,Tipo de evento,Tipo de público,Lugar,Lat,Lon
"Paseo del Arte y de la Artesanía","11/10/2015","31/12/2017","11:00","14:00","Urbanizaciones","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1056","Datos de interés Descripción Exposición Artística y de venta en un enclave natural (Jardín del Arroyo de la Vega, junto a la Rosaleda) para que los vecinos de Alcobendas disfruten del arte en los parques.   Horario Se celebran los segundos domingos de cada mes, siempre que el tiempo lo permita. Lugar Jardín de la Vega frente a la rosaleda. Otros datos Interesados en participar Telf. 685168331 y artistasdelpuebloadp@hotmail.com Organiza: Artistas del Pueblo","Pintura, Escultura y Fotografía,Exposiciones","Público general","Jardín de la Vega",40.53691003,-3.62862778
"Programación Cultura en Familia (Septiembre/Diciembre 2017)","24/04/2017","17/12/2017","","","","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2099","Datos de interés Descripción Puede consultar el folleto con  todas las actividades programadas para el periodo Septiembre - Diciembre 2017 Cartel Cultura en Familia","Otros Cultura y Ocio,Infancia,Otros,Otros,Cultura en Familia","Infancia y Adolescencia","Varios",,
"Programación cultural Revista El Público (Octubre 2017/Enero 2018)","02/10/2017","30/01/2018","","","","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1993","Datos de interés Descripción Puede consultar el folleto con todos los espectáculos programados para el Primer período de la temporada. Puede informarse sobre abonos, horarios, precios, adquisición de localidades, etc. Documentos Programación espectáculos El Público (Octubre 2017/Enero 2018)","Teatro, Música y Danza,Teatro y Danza,Música,El Público","Infancia y Adolescencia,Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"Programación cultural Revista El Público (Octubre 2017/Enero 2018)","02/10/2017","30/01/2018","","","","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1993","Datos de interés Descripción Puede consultar el folleto con todos los espectáculos programados para el Primer período de la temporada. Puede informarse sobre abonos, horarios, precios, adquisición de localidades, etc. Documentos Programación espectáculos El Público (Octubre 2017/Enero 2018)","Teatro, Música y Danza,Teatro y Danza,Música,El Público","Infancia y Adolescencia,Público general","Centro de Arte Alcobendas",40.54090867,-3.63070666
"Proyectos europeos para jóvenes en Austria","01/09/2017","30/06/2018","","","","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1511","Datos de interés Descripción Proyectos europeos en Austria: pasa 10 meses en EL Tirol Austriaco (Jenbach) en el Centro Juvenil Point desde el 1 de octubre, desarrollando talleres para jóvenes, actividades de ocio y tiempo libre y creando recursos útiles para jóvenes,. Si por lo contrario te interesa participar en un proyecto educativo alternativo, puedes pasar 11 meses en la escuela Montessori Schulgarten de Telfs, este proyecto da comienzo el 1 de septiembre. Desarrolla talleres, actividades de ocio y tiempo libre y creando recursos para los alumnos de la escuela Montessori Schulgarten, Conoce todos los detalles de los proyectos aquí www.mei-infoeck.at/evstyrol Si tienes entre 18 y 30 años y quieres disfrutar de un proyecto europeo en Austria, ¡esta es tu oportunidad! Infórmate de todos los detalles y envía tu CV en inglés, una carta de motivación y el formulario de solicitud antes del 15 de junio de 2017. El programa incluye el coste del billete de avión (hasta 275 €), alojamiento, manutención, seguro y dinero de bolsillo. Puedes presentarte hasta el 15 de junio enviando la documentación a través de europa@imagina.aytoalcobendas.org  Para ampliar la información contacta con Imagina, 9168590957 c/ Ruperto Chapí, 18.","Otros Cultura y Ocio,Juventud,Viajes,Imagina - Juventud","Jóvenes","Fuera del Municipio",,
"Semana de la Juventud","06/11/2017","11/11/2017","","","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2554","Datos de interés Descripción El Consejo de la Juventud de Alcobendas e IMAGINA te invitan a participar en la Semana de la Juventud que se celebrará del 6 al 11 de noviembre. Una semana repleta de actividades, espectáculos, talleres, deporte, exposiciones, radio, teatroforo, chocolatada, danza, cenas, gala de premios Jóvenes Alcobendas 2017… y mucho más. Esta Semana Joven tiene como objetivos dotar de un mayor protagonismo a la juventud del municipio, visibilizar el trabajo de las diferentes asociaciones juveniles de Alcobendas y mostrar la importancia que los jóvenes tienen en y para Alcobendas. Para la exposición que se realizará en el espacio expositivo El Cubo sobre Arte y erotismo unido que organiza Assex, los jóvenes de Alcobendas que quieran mostrar sus fotos, pinturas, relatos, poemas, canciones…y cualquier otro formato artístico, siempre en torno al tema de la sexualidad y el erotismo, pueden presentar sus obras hasta el 31 de octubre, contactando en el mail hola@assexsaludysexualidad.org  o enviando un WhatsApp al 644619546. La inauguración de la exposición se realizará el 6 de noviembre coincidiendo con el inicio de la Semana de la Juventud. Y para poder participar en la actividad de Scape Room y taller de circo  también es necesario hacer la inscripción previa en la página http://www.elconsejo.org/ Inscripción  Alguna de las actividades que se realizarán esa semana requieren una inscripción previa como en el caso de: cenas en inglés, taller de bollywood y yincana, que puedes realizar Si te interesan estas actividades puedes realizar la inscripción hasta el jueves 2 de noviembre en la web de IMAGINA http://www.imaginalcobendas.org/2017/10/semana-de-la-juventud/. El resto de actividades no necesita una inscripción previa y podrás pasarte directamente y participar en aquellas que te gusten más. Más información en el díptico informativo de la Semana de la Juventud 2017. ","Fiestas, Ferias y otros eventos,Juventud,Otros","Público general","Plaza Mayor",,
"Sinergia 3.0","03/11/2017","03/11/2017","20:00","","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2478","Datos de interés Descripción  La compañía madrileña Nueveuno, cuyos integrantes tienen ya una larga experiencia que incluye trabajos con el Circo del Sol o Gandini Juggling, llega con este espectáculo circense inspirado en la obra de Leonardo da Vinci y apto para todas las edades. Con elegancia y un sentido muy moderno de técnicas como los malabares, la manipulación de objetos en escena, y combinándolos con otras disciplinas como la danza, estos cuatro artistas consiguen que el espectador quede encantado ante la plasticidad y la armonía de la función sobre el escenario. Sinergia 3.0 es una obra tierna, visual y asombrosa que ha cosechado ya un gran éxito de crítica y público y que fue una revelación la pasada temporada en su estreno en el Circo Price. Allí se ganaron el aplauso unánime del público y emprendieron una larga gira por teatros de toda España. www.nueveunocirco.com Para mayores de 8 años.   Ficha artística: Creación e interpretación: Stefano Fabris, Miguel Frutos, Josu Montón y Jorge Silvestre Idea original y Dirección: Jorge Silvestre Dramaturgia y ayuda a la Dirección: Oscar Diéguez “Churun” • Títeres e interpretación: Fernando Barta Mirada coreográfica: Iris Muñoz Horario Duración: 60 minutos  Precio 10/12 € Otros datos Información sobre fechas y puntos de venta. Descuentos de localidades y abonos. Programación completa","Teatro, Música y Danza,Teatro y Danza,El Público,Abono Alternativo","Infancia y Adolescencia,Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"Taller de escritura creativa: literatura fantástica y de ciencia-ficción","21/10/2017","11/11/2017","10:30","13:30","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2541","Datos de interés  Descripción Las mediatecas municipales ponen en marcha un nuevo taller de escritura creativa para mayores de 18 años, dirigido a las personas que deseen ampliar su experiencia en el campo narrativo. El taller tiene como objetivo estimular la capacidad creativa mediante el trabajo en grupo y la participación en el intercambio de ideas sobre el oficio de escribir. El nuevo taller de lectura y escritura, que será impartido por la escritora Reina Roffé, toma, esta vez, como eje central a la literatura fantástica y de ciencia-ficción. Las sesiones incluirán lecturas de autores consagrados, interpretación y valoración crítica de las lecturas, ejercicios prácticos y producción de textos propios. Los textos de creación de los talleristas serán leídos, analizados y corregidos por el grupo bajo la supervisión de la coordinadora. Horario El taller constará de cuatro sesiones de tres horas impartidas de 10:30 a 13:30 horas en el Centro Cultural Pablo Iglesias, y se realizará los sábados 21 y 28 de octubre, y el 4 y 11 de noviembre. Precio Gratuito. Inscripción Los interesados en participar deberán preinscribirse del lunes 16 al miércoles 18 de octubre en el correo electrónico mediatecas@aytoalcobendas.org. Los datos necesarios para la preinscripción serán los siguientes: nombre y apellidos, edad, teléfono de contacto y dirección electrónica. La organización se pondrá en contacto solamente con las personas que han obtenido plaza definitiva a partir del jueves 19 de octubre.","Literatura e Historia,Literatura,Actividades en las mediatecas","Adultos","Mediateca Pablo Iglesias",40.54295948,-3.64362527
"Teatro para Mayores (Octubre-febrero 2018)","22/09/2017","28/02/2018","","","","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2334","Datos de interés Descripción Programa del Servicio de Mayores que reserva 50 entradas a precio reducido para los espectáculos de Abono General programados en el Teatro Auditorio Ciudad de Alcobendas. Los carteles con la información de los espectáculos y las fechas de preinscripción se publicarán también en todos los centros de mayores.  ESPECTÁCULO INSCRIPCIONES 010 VENTA EN TAQUILLA FECHA ESPECTÁCULO  EL TEST    26-27 SEPTIEMBRE        03/10/2017          08/10/2017  LA CANTANTE CALVA    10-11 OCTUBRE        17/10/2017          21/10/2017  TU NOMBRE ME SABE A TANGO    17-18 OCTUBRE        24/10/2017          27/10/2017  AMANCIO PRADA    19-20 OCTUBRE        24/10/2017          29/10/2017  EL CARTOGRAFO    30-31 OCTUBRE        07/11/2017          11/11/2017  LAS BICICLETAS SON PARA EL VERANO    07-08 NOVIEMBRE        14/11/2017          19/11/2017  LA BELLA DURMIENTE    21-22 NOVIEMBRE        28/11/2017          02/12/2017  LA COMEDIA DE LAS MENTIRAS    04-05 DICIEMBRE        12/12/2017          15/12/2017  MIGUEL DE MOLINA    02-03 ENERO'18        09/01/2018          13/01/2018  LO MEJOR DE YLLANA    09-10 ENERO'18        16/01/2018          20/01/2018 Requisitos para la Inscripción Telefónica: En el 010 SAC llamando desde Alcobendas y en el 91 2969088 (desde otra localidad o desde móvil).  Imprescindible dar el número del DNI, el nombre y apellidos de las persona/s que se inscriban. Tener el carnet de los hogares de mayores de Alcobendas y estar empadronado en Alcobendas. Lugar y horario de recogida de entradas Las entradas se recogerán en el día indicado en las taquillas del Teatro Auditorio. Para su retirada será necesario presentar el Carnet de Socio de los Centros de Mayores. Precio 2,68 euros.","Mayores,Otras actividades culturales","Mayores","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"Trastillo de Sarasvati","03/09/2017","31/12/2017","10:30","14:30","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1703","  Datos de interés Descripción Mercadillo vecinal en el que particulares y asociaciones ofrecen sus artículos de segunda mano. Puedes poner tu puesto gratis. Lugar y horario Avda. Olímpica (junto a La Esfera), entre las glorietas Juan A. Samaranch y Pierre de Coubertin. El primer domingo de cada mes de 10:30 a 14:30 h. Más información Inscripciones en  sarasvati.asociacion.cultura@gmail.com  Acceso libre. Organiza: Asociación cultural Sarasvati","Fiestas, Ferias y otros eventos,Otros","Público general","Varios",,
"Triunfo de Amor","01/12/2017","01/12/2017","20:00","","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2481","Datos de interés Descripción  La compañía segoviana Nao d’amores, experta en la recuperación de autores prebarrocos, continúa con su labor a través de la figura de Juan de la Encina. Los textos y las músicas del gran autor teatral del renacimiento español sirven de base a este espectáculo para ahondar en uno de los grandes temas de la tradición medieval y que lo seguirá siendo a lo largo de los siglos: el poder del amor. En escena vemos cómo ese poderoso sentimiento nos gobierna y nos destruye de manera catastrófica en algunas ocasiones pero que también nos puede hacer mejores. Con una cuidadísima puesta en escena que incluye la utilización de instrumentos de época, Ana Zamora dirige a los actores por un espectáculo en el que la pasión se enfoca desde la comedia y que entusiasmará al espectador contemporáneo por su enfoque universal. http://www.naodamores.com/ Para mayores de 14 años.   Ficha artística: Dramaturgia y Dirección: Ana Zamora Dirección musical: Alicia Lázaro Asesor de Verso: Vicente Fuentes Coreografía: Javier García Ávila Intérpretes: Sergio Adillo, Javier Carramiñana, Eva Jornet, Rodrigo Muñoz, Irene Serrano e Isabel Zamora Iluminación: Miguel A. Camacho y Pedro Yagüe Escenografía: David Faraco Vestuario: Deborah Macías Horario Duración: 70 minutos  Precio 11/15 € Otros datos Información sobre fechas y puntos de venta. Descuentos de localidades y abonos. Programación completa","Teatro, Música y Danza,Teatro y Danza,El Público,Abono Alternativo","Infancia y Adolescencia,Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"Tu eres la noche de imagina, fase de votaciones","23/10/2017","03/12/2017","","","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1163","Datos de interés Descripción ¿Qué quieres hacer este sábado por la Noche? Esta es la pregunta que por décimo año consecutivo, el Ayuntamiento de Alcobendas por medio de su programa Imagina tu noche, hace a los jóvenes del municipio. La segunda fase del proceso de participación juvenil Tú eres la noche de Imagina, ya ha comenzado. Se trata de la fase de votaciones que durará hasta el 3 de diciembre. Una vez recogidas todas las propuestas, se han presentado más de 100 diferentes. Ahora es el momento de que elijas cuáles son las que más te gustaría llevar a cabo en 2018. Las categorías predominantes han sido “deporte” (18%) seguida por “actividades nuevas” (16%). Puedes votar tu propia propuesta u otra de otra persona, dando entre 1 y 5 estrellas a tus actividades favoritas, con un máximo de 5 votaciones, organizadas en tres bloques diferentes según su coste, y en diferentes categorías para que puedas filtrar según tus intereses. Las propuestas más votadas hasta sumar la cantidad destinada de este presupuesto, 33.000 €, serán las que se realicen los sábados noche del año que viene. Conoce las condiciones especiales para participar en el proceso en la web Vota ahora en la página web: http://votaimaginatunoche.imaginalcobendas.org/. Sólo para jóvenes empadronados de entre 16 y 30 años. ¡Tú decides!","Otros Cultura y Ocio,Juventud,Otros,Imagina - Juventud","Jóvenes","Imagina - Casa de la Juventud",40.54806866,-3.64420053
"V Concurso de fotografía Asesoría de la Naturaleza: Entornos naturales","16/10/2017","20/11/2017","","","Norte","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2142","Datos de interés Descripción Si eres aficionado a la fotografía, tienes entre 18 y 35 años, y estás empadronado o eres trabajador de Alcobendas, la asesoría de naturaleza de Imagina te invita a participar en este concurso. El tema del concurso es: Entornos naturales. La fecha de admisión de las fotografías participantes, será hasta el 20 de noviembre. Los premios serán por valor de 80, 50 y 30 € para las tres primeras fotografías clasificadas. Cada concursante podrá presentar hasta 3 fotografías, presencialmente en Imagina en horario de la Oficina de Información Juvenil, de lunes a viernes de 11:30 a 13:30 h y de 17 a 21 h en soporte digital (Pen Drive, CD, DVD) o enviar por correo electrónico a naturaleza@imagina.alcobendas.org Las fotografías tendrán el siguiente formato: formato JPEG, en calidad máxima, tamaño: ancho 3648 píxeles x alto 2736 píxeles. Junto con la fotografía JPEG se adjuntará un documento de Word con los datos personales del participante que incluirá: título de la fotografía, nombre del autor o autora, edad, lugar y fecha que corresponde a la fotografía, correo electrónico, nº teléfono, dirección y una breve descripción de la fotografía. Descarga las bases en www.imaginalcobendas.org  ","Pintura, Escultura y Fotografía,Juventud,Otros,Imagina - Juventud","Jóvenes","Imagina - Casa de la Juventud",40.54806866,-3.64420053
"Viajes de larga duración para mayores 2017","13/02/2017","23/10/2017","","","","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2409","Datos de interés Descripción  VIAJE A PREINSCRIPCIÓN LISTADO PROVISIONAL RECLAMACIONES   SORTEO    LISTADO DEFINITIVO PAGOS  FECHAS VIAJE BENICASIM 14-15-16 Febrero 22-23-24 febrero 2 marzo 6 marzo 15-16 marzo 29 marzo a 4 de abril SAHAGÚN (León) 28 feb - 1 y 2 marzo 21-22-23 marzo 29 marzo 31 marzo 6-7 abril 21 a 24 abril LLORET DE MAR 27-28-29 marzo 5-6-7 abril 18 abril 19 abril 25-26 abril 8 a 14 mayo CAMBADOS 14-15-18 septiembre 25 al 27 septiembre Octubre 4 Octubre 9-10 Octubre 20 a 26 octubre Consultar información sobre inscripción y adjudicación de plazas. Requisitos Estar empadronado en Alcobendas Ser socio de los Centros de Mayores municipales  Preinscripción telefónica  Atención telefónica del Servicio de Atención Ciudadana (S.A.C.), para todos los socios EMPADRONADOS, sin que el orden de llamada suponga derecho alguno. La preinscripción dará derecho a la participación en un sorteo entre todos los solicitantes. Tendrán preferencia  en la adjudicación de plazas aquellas personas que no hayan participado en un viaje de estas características el año en curso o en los dos años anteriores.  Precio Precios del viaje según precios públicos del Patronato de Bienestar Social (PBS) - (Ordenanzas Fiscales 2017)    PRECIO DEL VIAJE  Pensiones hasta  400, 00 €  49,72 €  Pensiones de  400,01 a 450,00 €  74,58 €  Pensiones de  450,01 a 500,00 €  99,44 €  Pensiones de  500,01 a 550,00 €  124,30 €  Pensiones de  550,01 a 600,00 €  149,16 €  Pensiones de  600,01 a 650,00 €  174,02 €  Pensiones de  650,01 a 700,00 €  198,88 €  Pensiones de  700,00 a 750,00 €  223,74 €  Pensiones de  750,01 € en adelante  248,60 € Formas de pago Los agraciados en el sorteo, deberán formalizar la inscripción en los Centros de Mayores en horario de 10:30 a 19:00 horas. y en los Centros de la C/ Salvia y C/ del Pilar en horario de 10:30 a 14:00 horas y de 16:00 a 19:00 horas: Con tarjeta de débito. Transferencia bancaria a la cuenta del Patronato de Bienestar Social: ES85 2038 2214 31 6000491480 Documentación que hay que presentar Si se ha pagado en el banco: justificante de ingreso en la cuenta anteriormente señalada. Carnet de socio de pleno derecho de los centros de mayores del Ayuntamiento de Alcobendas.","Mayores,Viajes y excursiones","Mayores","Fuera del Municipio",,
"Viajes de un día para mayores 2017","13/02/2017","26/10/2017","","","","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2349","Datos de interés Descripción  La preinscripción dará derecho a la participación en un sorteo entre todos los solicitantes, con preferencia para las personas que no hayan asistido a ningún viaje en el año en curso. DESTINO PREINSCRIPCIÓN LISTADO PROVISIONAL RECLAMACIONES   SORTEO    LISTADO DEFINITIVO PAGOS  SALIDA  GUADALAJARA 20 - 21 Febrero  24 - 27 Febrero  1 Marzo 3 al 6 Marzo 7 y 8 Marzo 16 Marzo COCA 27 - 28 Marzo  3 al 5 Abril  6 Abril 13 al 17 Abril 18 y 19 Abril 27 Abril GARGANTA DE  LOS MONTES 17 - 18 Abril  24 al 26 Abril  27 Abril 3 al 6 Mayo  8 y 9 Mayo 18 Mayo SEGOVIA 31 agosto - 1 sept  8 y 11 Septiembre  12 Sept 15 al 18 Sept 19 y20 sept 28 Sept ARANJUEZ 28 - 29 sept.  5 al 8 Octubre  9 Octubre 13 al 16 Oct. 17 y18 Oct  26 Oct. Consultar información sobre inscripción y adjudicación de plazas. Requisitos Estar empadronado en Alcobendas Ser socio de los Centros de Mayores municipales  Preinscripción telefónica  Atención telefónica del Servicio de Atención Ciudadana (S.A.C), para todos los socios EMPADRONADOS, sin que el orden de llamada suponga derecho alguno. Tienen preferencia las personas que no hayan participado en ningún viaje en el año en curso. Precio y Formas de pago 6,45 €, según precios públicos del Patronato de Bienestar Social (PBS) - (Ordenanzas Fiscales 2017)  Los agraciados en el sorteo, deberán formalizar la inscripción en los días señalados de pago, acudiendo a los Centros de Mayores en horario de 10:30 a 19:00 horas. y en los Centros de la C/ Salvia y C/ del Pilar en horario de 10:30 a 14:00 horas y de 16:00 a 19:00 horas: Con tarjeta de débito. Transferencia bancaria a la cuenta del Patronato de Bienestar Social: ES85 2038 2214 31 6000491480 Documentación que hay que presentar Si se ha pagado en el banco: justificante de ingreso en la cuenta anteriormente señalada. Carnet de socio de pleno derecho de los centros de mayores del Ayuntamiento de Alcobendas.","Mayores,Viajes y excursiones","Mayores","Fuera del Municipio",,
"VII Concurso de fotografía Ciudad de Alcobendas","09/10/2017","20/11/2017","","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1910","Datos de interés Descripción Por séptimo año consecutivo, vuelve el Concurso de Fotografía Ciudad de Alcobendas, impulsado por las asociaciones Artistas del Pueblo y A Contraluz. un certamen que continúa creciendo en participación y calidad y en el que podrán participar los profesionales y aficionados mayores de edad que lo deseen. La temática del concurso es El abandono.  Consultar Bases del concurso Plazo de presentación Cada autor podrá presentar un máximo de tres fotografías impresas, del 9 de octubre al 20 de noviembre en la Casa de las Asociaciones. Premios Se otorgarán dos premios de 650 y 400 € y las fotografías premiadas, junto con las 28 finalistas, serán expuestas en el Centro Cívico Anabel Segura entre el 15 de diciembre y el 12 de enero.","Pintura, Escultura y Fotografía,Otros","Público general","Casa de las Asociaciones",40.53861489,-3.63204832
"Vuelos","18/11/2017","18/11/2017","18:00","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=2483","Datos de interés Descripción   El coreógrafo Enrique Cabrera, al frente de la compañía madrileña Aracaladanza, nos acerca al mundo de los artefactos voladores de Leonardo da Vinci a través de un hermosísimo espectáculo de danza para toda la familia. Sobre el escenario sus creaciones toman cuerpo y esas alas imaginadas se transforman en alas para la imaginación en un juego que deleitará a los más pequeños. La magia toma el escenario y el público siente el vértigo del vuelo libre y creativo que los bailarines recrean con sus movimientos. Vuelos es una producción en la que han unido sus fuerzas el Teatro Sadler’s Wells de Londres, el Teatro de la Abadía, y el Nottingham Lakeside Arts y que fue finalista al Max al mejor espectáculo infantil en la última edición de los premios. www.aracaladanza.com Para mayores de 4 años.   Ficha artística: Idea y Dirección: Enrique Cabrera Coreografía: Aracaladanza Intérpretes: Carolina Arija Gallardo, Jimena Trueba Toca, Jonatan de Luis Mazagatos, Jorge Brea Salgueiro y Raquel de la Plaza Húmera. Composición musical original: Luis Miguel Cobo. Horario Duración: 50 minutos  Precio 4/6 € Otros datos Información sobre fechas y puntos de venta. Descuentos de localidades y abonos. Programación completa","Teatro, Música y Danza,Teatro y Danza,El Público,Abono Familia","Infancia y Adolescencia,Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
"XVII Certamen de Poesía Casas Regionales de Alcobendas 2017","02/10/2017","31/10/2017","","","Centro","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=1866","Datos de interés Descripción Las casas regionales de Andalucía, Asturias, Castilla-La Mancha, Castilla y León, Extremadura, Murcia y Xuntanza de Galegos convocan el tradicional Certamen de Poesía, que este año celebra su decimoséptima edición. El plazo para presentar obras comienza el lunes 2 de octubre y ﬁnaliza el martes 31 del mismo mes. En esta edición se han establecido tres premios: un primero, de 1000 €; un accésit, de 400, y uno de poesía popular, también de 400 €. Todos ellos, acompañados de la correspondiente placa conmemorativa. Consulte las Bases completas del certamen.  El acto de entrega de premios se celebrará el domingo 3 de diciembre, a las 12 horas, en La Esfera. Más información Casa de las Asociaciones (teléfono 91 653 73 78), en el Centro Municipal La Esfera (teléfono 91 484 06 87) y a través del correo cm.laesfera@aytoalcobendas.org.","Otros Cultura y Ocio,Literatura","Adultos","La Esfera - Sede Casas Regionales de Alcobendas",40.53669217,-3.63265631
"XX Muestra Local de Teatro de Alcobendas","27/10/2017","05/12/2017","","","","http://www.alcobendas.org/es/cargarFichaAgenda.do?identificador=892","Datos de interés Descripción Programa de la XX Muestra de Teatro Local Viernes 27 de octubre, a las 20:00 horas:  Teatro del otro día Oraciones a la luz de la basura (una comedia sobre la vida que se nos escapa), de Delfín Estévez Precio: 3,50 €. Lugar: Centro Cultural Pablo Iglesias. Sábado 28 de octubre, a las 20:00 horas:  Asociación Cultural Diego El de la Gloria Obra: Perdonen que no me levante, creación colectiva Precio: 3,50 € Lugar: Centro Cultural Pablo Iglesias Domingo 29 de octubre, a las 12:00 horas:  Asociación Teatral Sirius  Obra: ¡Qué gloria de cuentos!, adaptación de la obra de Gloria Fuertes. Obra infantil para toda la familia Precio: 1,50 € Lugar:  Centro Cultural Pablo Iglesias Viernes 3 de noviembre, a las 20:00 horas:  ATMA  Obra: Un misterio por Navidad, adaptación libre de 8 mujeres, de Robert Thomas Precio: 3,50 € Lugar: Centro Cultural Pablo Iglesias Sábado 4 de noviembre, a las 20:00 horas:  Lomáscrudo  Teatro Obra: ¿Acaso no matan a los caballos?, adaptación teatral de Sepu Sepúlveda sobre la novela de Horace McCoy They shoot horses, don´t they? Precio: 3,50 € Lugar: Centro Cultural Pablo Iglesias Domingo 5 de noviembre, a las 12:00 horas:  Asociación juvenil    Obra: Rapunzel, El musical,  adaptación de Mayus Atacados Precio: 2,50 € Lugar: Centro Cultural Pablo Iglesias Viernes 10 de noviembre, a las 20:00 horas:  Druida Teatro    Obra: Senectute, de Manuel Pérez. Precio: 3,50 € Lugar: Teatro Auditorio Ciudad de Alcobendas. Sábado 11 de noviembre, a las 20:00 horas:  Asociación Cultural Iridia     Obra: El sentido de la vida,  II Certamen internacional de dramaturgia Precio: 3,50 € Lugar: Centro Cultural Pablo Iglesias Domingo 12 de noviembre, a las 12:00 horas: Parafernalias     Obra: Celebración, de Harold Pinter. Para mayores de 12 años Precio: 3,50 € Lugar: Centro Cultural Pablo Iglesias. Viernes 17 de noviembre, a las 20:00 horas:  Artistas del Pueblo  Obra: Aquí no paga nadie de Darío Fo Precio: 3,50 € Lugar: Centro Cultural Pablo Iglesias Sábado 18 de noviembre, a las 20:00 horas:  Compañía Joven F.A.E.A.  Obra: 8 Mujeres,  de Robert Thomas. Programa Imagina tu noche Precio: 2,50 € Lugar: Centro Cultural Pablo Iglesias Domingo 19 de noviembre, a las 12:00 horas:  Lo que Viva el Gallo Teatro Obra: Cuentos con sabor a gloria,  adaptación de la obra de Gloria Fuertes. Obra infantil para toda la familia Precio: 3,50 € Lugar: Centro Cultural Pablo Iglesias Viernes 24 de noviembre, a las 20:00 horas:  Asociación Teatral y Cultural Túnguele  Obra: El producto contingente, de Alberto Miralles Precio: 3,50 € Lugar:  Centro Cultural Pablo Iglesias Sábado 25 de noviembre, a las 20:00 horas: Asociación de Teatro y Danza Dríades Obra: Salvajes, creación colectiva de Dríades basada en la película Relatos salvajes, de Damián Szifron Precio: 3,50 € Lugar: Centro Cultural Pablo Iglesias Domingo 26 de noviembre, a las 12 horas: Compañía La Alegría Obra: La venganza de la Petra, de Carlos Arniches Precio: 1,50 € Lugar: Centro Cultural Pablo Iglesias Viernes 1 de diciembre, a las 20:00 horas: Asociación de Teatro Saltea Obra: Abajadero, de Moisés Afer Precio: 3,50 € Lugar: Centro Cultural Pablo Iglesias Sábado 2 de diciembre, a las 20:00 horas: Grupo de Teatro Huella Obra: Ghost, adaptación del guion cinematográfico de Bruce Joel Rubin. Apta para mayores de 14 años Precio: 3,50 € Lugar: Centro Cultural Pablo Iglesias Martes 5 de diciembre, a las 20:00 horas Compañía de Teatro Blas de Otero Obra: Familia, adaptación de la obra de Fernando León de Aranoa Precio: 3,50 € Lugar: Centro de Arte Alcobendas Tras finalizar esta obra, tendrá lugar un breve acto de Clausura de la XX Muestra Local de Teatro de Alcobendas 2017 Taquilla Venta de entradas desde el 17 de octubre, para todos los espectáculos.  Las entradas para cualquier espectáculo se pueden comprar en los horarios habituales de las taquillas: Teatro Auditorio Ciudad de Alcobendas: de martes a viernes (no festivos), de 18:00 a 20:00 h.  Centro Cultural Pablo Iglesias: de martes a sábado (no festivos), de 11:00 a 12:30 h. Centro de Arte: viernes de 17:00 a 19:30 y sábados de 11:00 a 13:30 y de 17:00 a 19:30 h.  Entradas el día del espectáculo: Teatro Auditorio: venderá localidades para el espectáculo programado desde dos horas antes de su inicio. Centro Cultural Pablo Iglesias: desde una hora antes de su inicio. Centro de Arte Alcobendas: venderá localidades para las funciones programadas desde una hora antes de su inicio. Otros datos PDF del programa completo","Teatro, Música y Danza,Teatro y Danza","Público general","Teatro Auditorio Ciudad de Alcobendas",40.54809243,-3.64276241
