RAOSOCIAL,DOMICILISOCIAL,TELEFON,EMAIL,WEB,CATEGORIA,LATITUD,LONGITUD,LOCATION,ENLLACDIRECTORI,ICON
SRPM arquitectura ingeniería,"carrer centre, 35 cantonada, 08850 Gavà",936333280 ,info@arqteria.com,http://www.arqteria.com,Altres serveis a empreses,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4782,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Hemmelrath Ibérica, SL","carrer ciència, 10, 08850 Gavà",936333210 ,cgernhart@hemmelrath.es,http://www.hemmelrath.de,Química - Farmàcia - Sanitat,41.298275,2.012792,"(41.298275, 2.012792)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4487,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Auson Verd, SL","carrer ciència, 16, 08850 Gavà",936623551 ,ausonverd@telefonica.net,http://www.gremirecuperacio.org,Recuperació industrial - deixalleria,41.29882,2.013497,"(41.29882, 2.013497)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4372,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Taxi Travel Ticket, SL","carrer ciència, 19, 08850 Gavà", ,,,Logística - Distribució - Transport,41.298275,2.012792,"(41.298275, 2.012792)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1082,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Italpresse Hispania, SL","carrer ciència, 19, 08850 Gavà",936333013 ,italpressehispania@hotmail.com,http://www.italpresse.it,Siderúrgia - Metal·lúrgia - Maquinària,41.298275,2.012792,"(41.298275, 2.012792)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4511,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Bema Services 2012, SL","carrer ciència, 21, 08850 Gavà", ,,,Tèxtil - Calçat - Confecció,41.298275,2.012792,"(41.298275, 2.012792)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=502,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Bema Services 2012, SL","carrer ciència, 21, 08850 Gavà", ,,,Tèxtil - Calçat - Confecció,41.298275,2.012792,"(41.298275, 2.012792)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=921,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Bimbo Martínez Comercial, SL","carrer ciència, 26-28, 08850 Gavà",936333977 ,ocbimbo.televenta@grupobimbo.com,http://www.bimbo.com,Logística - Distribució - Transport,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4379,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Parket Lux Morato, SL","carrer ciència, 31, 08850 Gavà",936624626 ,morato@parquetsluxmorato.es,http://www.parquetsluxmorato.es,Fusta - Mobles,41.298077,2.012453,"(41.298077, 2.012453)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4578,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Espiarva, SL","carrer ciència, 35, 08850 Gavà",933717717 ,info@espiarva.com,http://www.espiarva.com,Siderúrgia - Metal·lúrgia - Maquinària,41.298203,2.012927,"(41.298203, 2.012927)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4449,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Semikron Electrónics, SL","carrer ciència, 35, 08850 Gavà",936335890 ,sales.ske@semikron.com,http://www.semikron.es,Electricitat - Electrònica - Òptica,41.298203,2.012927,"(41.298203, 2.012927)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4619,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"You Cosmetics, SL","carrer ciència, 35-39, 08850 Gavà",934752760 ,youcosmetics@youcosmetics-sl.com,http://www.youcosmetics-sl.com,Altres serveis a empreses,41.298203,2.012927,"(41.298203, 2.012927)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5087,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Talleres Autocamiones Gavà, SL","carrer ciència, 49, 08850 Gavà",936629405 ,autocamionesgava@telefonica.net,,Taller mecànic - Reparacions - Concessionari,41.297886,2.012184,"(41.297886, 2.012184)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4633,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Construcciones Sánchez,"carrer colomeres, 11, 08850 Gavà",936622494 ,,,Construcció i derivats,41.300114,2.002846,"(41.300114, 2.002846)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4412,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
Juan Barranco Crespo,"carrer colomeres, 93, 08850 Gavà",679114534 ,,,Logística - Distribució - Transport,41.305027,2.000278,"(41.305027, 2.000278)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4526,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Lipotrue,"carrer coneixement, 3, 08850 Gavà",936811650 ,,https://www.lipotrue.com/,Química - Farmàcia - Sanitat,41.293472,2.016235,"(41.293472, 2.016235)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5584,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Prima - Derm SL,"carrer coneixement, 3, 08850 Gavà",936811650 ,info@prima-derm.com,http://www.prima-derm.com,Química - Farmàcia - Sanitat,41.293472,2.016235,"(41.293472, 2.016235)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5248,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Mac Dermid Española, SA","carrer coneixement, 6, 08850 Gavà",936341380 ,xtorne@macdermid.com,http://industrial.macdermid.com/,Química - Farmàcia - Sanitat,41.293472,2.016235,"(41.293472, 2.016235)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1681,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"RADIANT LIGHT, SL","carrer copèrnic, 2, 08850 Gavà",936389763 ,info@radiantis.com,http://www.radiantis.com/,Electricitat - Electrònica - Òptica,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5123,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Autotaller Camí Ral,"carrer copèrnic, 2-4, 08850 Gavà",936627528 ,autocamiral@gmail.com,http://www.autocamiral.com,Taller mecànic - Reparacions - Concessionari,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4376,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Jac Motors, SA","carrer copèrnic, 2-4, 08850 Gavà",936333520 ,bcp@jacmotors.com,http://www.jacmotors.com,Automoció,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4515,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"MSC Bikes, SL","carrer creativitat, 11, 08850 Gavà",936381666 ,msc@mscbikes.com,http://www.mscbikes.com,Logística - Distribució - Transport,41.2939,2.017011,"(41.2939, 2.017011)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4569,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Tecnomak España, SA","carrer creativitat, 5, 08850 Gavà",934491497 ,info@tecnomak.es,http://www.tecnomak.es,Siderúrgia - Metal·lúrgia - Maquinària,41.2939,2.017011,"(41.2939, 2.017011)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5198,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Uruimport SL,"carrer cunit, 78, 08850 Gavà",936330767 ,uruimport@uruimport.com,http://www.uruimport.com,Logística - Distribució - Transport,41.2684,2.017601,"(41.2684, 2.017601)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4650,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Gavà Business Park, SL","carrer disseny, s/n, 08850 Gavà",935570090 ,recepcion@clapegroup.com,http://www.clapegroup.com,Immobiliari,41.29287,2.01475,"(41.29287, 2.01475)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4472,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Altimex, SL","carrer energia, 11-27, 08850 Gavà",936380011 ,belen.santiago@altimex.es,,Logística - Distribució - Transport,41.298367,2.006563,"(41.298367, 2.006563)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5188,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
GB PLANGE,"carrer energia, 11-27, 08850 Gavà",934758127 ,,http://www.abmauri.es/,Alimentació - Restauració,41.298367,2.006563,"(41.298367, 2.006563)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5110,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"PROVISUR GENERAL SHIP CHANDLER, SL","carrer energia, 15-25, 08850 Gavà", ,,,Alimentació (quotidià alimentari),41.298367,2.006563,"(41.298367, 2.006563)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5284,http://continguts.intra.gavaciutat.net/documents/76203/2268237/comerc.png
Imi Cornelius España S.A.,"carrer energia, 2, 08850 Gavà", ,,http://www.imi-cornelius.es,Siderúrgia - Metal·lúrgia - Maquinària,41.299133,2.005898,"(41.299133, 2.005898)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5187,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Magic Land, SL","carrer energia, 31-35, 08850 Gavà",936626462 ,apoblador@magicland.es,http://www.magicland.es,Turisme - Cultura - Oci,41.29633,2.00862,"(41.29633, 2.00862)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4548,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Idyca operador logistico, SA","carrer energia, 7-9, 08850 Gavà",936384040 ,idyca@idyca.com,http://www.idyca.com,Logística - Distribució - Transport,41.298985,2.006033,"(41.298985, 2.006033)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4494,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Viessmann, SL","carrer enginy, 10, 08850 Gavà",936388200 ,info@viessmann.com,http://www.viessmann.com,Siderúrgia - Metal·lúrgia - Maquinària,41.303722,2.014799,"(41.303722, 2.014799)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4654,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Inyli 2, SL","carrer enginy, 24-26, 08850 Gavà",936381003 ,inyli@inyli.com,http://www.inyli.com,Siderúrgia - Metal·lúrgia - Maquinària,41.30345,2.015463,"(41.30345, 2.015463)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4508,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
SERVEXK10 LOGISTICS SL,"carrer enginy, 4, 08850 Gavà",936382515 902232727,att.802@envialia-urgente.com,http://www.envialia-urgente.com/,Logística - Distribució - Transport,41.30345,2.015463,"(41.30345, 2.015463)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5245,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"SERVEX K10 LOGISTIC, SL ","carrer enginy, 4, 08850 Gavà", ,,,Logística - Distribució - Transport,41.30345,2.015463,"(41.30345, 2.015463)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5283,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Instalaciones A. Ramírez,"carrer f. pi i margall, 48, 08850 Gavà",936628207 ,,,Construcció i derivats,41.30769,1.996405,"(41.30769, 1.996405)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4503,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Andrac Computing, SL","carrer flama, 9, 08850 Gavà",936392317 ,info@andrac.net,http://www.andrac.net,Tecnologia - Telecomunicacions,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5089,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Metalmaq, SA","carrer forja, 15, 08850 Gavà",936380018 ,metalmaq@metalmaq.es,http://www.metalmaq.es,Siderúrgia - Metal·lúrgia - Maquinària,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4560,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Tecnasol - FGE Fundaoes e Geotecni,"carrer galileo, 14, 08850 Gavà",936384210 , info@tecnasol-fge.pt,http://www.tecnasol-fge.pt,Logística - Distribució - Transport,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4638,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Hispana 98, SL","carrer galileo, 18, 08850 Gavà",936622818 ,hispana98@bodegasfaustino.es,http://www.bodegasfaustino.es,Alimentació - Restauració,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4492,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Argos Flying Projects, SL","carrer general j. moragues, 11, 08850 Gavà", 676092521,info@argosfp.com,,Altres serveis a empreses,41.30621,1.994553,"(41.30621, 1.994553)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=701,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Transportes Osete,"carrer generalitat de catalunya, 22, 08850 Gavà",936388381 ,administracion@transportesosete.com,,Logística - Distribució - Transport,41.303486,2.003785,"(41.303486, 2.003785)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4646,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Herrajes y Caballos Caballero-Gómez, SL","carrer imaginació, 10, 08850 Gavà",936627471 ,herrajesycaballos@herrajesycaballos.com,http://www.herrajesycaballos.com,Altres,41.294792,2.015016,"(41.294792, 2.015016)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4489,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Renishaw S.A.U.,"carrer imaginació, 3, 08850 Gavà",936633420 ,spain@renishaw.com,http://www.renishaw.com,Electricitat - Electrònica - Òptica,41.294792,2.015016,"(41.294792, 2.015016)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5241,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Construcciones Maturano,"carrer isaac albéniz, 6, 08850 Gavà",936627732 ,,,Construcció i derivats,41.311657,1.996357,"(41.311657, 1.996357)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4411,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Lipotec, SA","carrer isaac peral, 17, 08850 Gavà",936388000 ,,http://www.lipotec.com,Química - Farmàcia - Sanitat,41.28777,1.995734,"(41.28777, 1.995734)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4537,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Albañilería Martín Torrecillas,"carrer jaume huguet, 5, 08850 Gavà",936624308 ,,,Construcció i derivats,41.30007,2.001674,"(41.30007, 2.001674)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4361,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Decamon, SCP","carrer joaquim folguera, 61, 08850 Gavà",936626290 ,,,Fusta - Mobles,41.299725,2.001461,"(41.299725, 2.001461)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4426,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Carpinteria y Ebanisteria Intermueble, SL","carrer lleida, 11, 08850 Gavà",936625652 ,,,Fusta - Mobles,41.301735,2.010555,"(41.301735, 2.010555)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4390,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Instalaciones O. Barral,"carrer lluís solé i sabarís, 30, 08850 Gavà",936384402 ,,,Energia - Aigua - Gas,41.301666,1.997889,"(41.301666, 1.997889)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4505,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"R Q Aplicacions Electromecàniques, SA","carrer miquel servet, 13, 08850 Gavà",936333990 ,info@rqaplicaciones.com,http://www.rqaplicaciones.com,Sense classificar,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4597,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Laboratorios Osila, SL","carrer miquel servet, 15-17, 08850 Gavà", ,,,Química - Farmàcia - Sanitat,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2723,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"J. Juan, SA","carrer miquel servet, 21-23, 08850 Gavà",936335959 ,jjuan@jjuan.es,http://www.jjuan.es,Automoció,41.30317,2.003213,"(41.30317, 2.003213)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4514,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Construcciones Facoma 2000, SL","avinguda eramprunyà, 26, 08850 Gavà",936384477 ,,,Construcció i derivats,41.309486,1.997562,"(41.309486, 1.997562)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4408,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Soportes Magnéticos Comunicación, SL","avinguda joan xxiii, 12, 08850 Gavà",936623407 ,,,Siderúrgia - Metal·lúrgia - Maquinària,41.309303,2.002108,"(41.309303, 2.002108)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4629,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Àngel Bret Sala,"carrer sant pere, 87, 08850 Gavà",936624571 ,,,Construcció i derivats,41.30396,2.000079,"(41.30396, 2.000079)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4367,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
Lucas Camps Grau,"carrer santa teresa, 33, 08850 Gavà", ,,,Taller mecànic - Reparacions - Concessionari,41.30669,1.999799,"(41.30669, 1.999799)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4545,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"B-Ticino Quintela, SA","carretera santa creu de calafell, 5, 08850 Gavà",936352660 ,,http://www.bticino.es,Electricitat - Electrònica - Òptica,41.30624,2.011192,"(41.30624, 2.011192)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4381,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
STAR MOTORS,"carretera santa creu de calafell, 54, 08850 Gavà",936333515 ,taller@starmotors.es,http://www.starmotors.es,Taller mecànic - Reparacions - Concessionari,41.303288,2.008035,"(41.303288, 2.008035)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5106,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Pineda Brillantil, S.L.","carretera santa creu de calafell, 77, 08850 Gavà",936628138 ,,,Construcció i derivats,41.302727,2.007621,"(41.302727, 2.007621)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4581,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
Air-Val - International SA,"carrer miquel servet, 27, 08850 Gavà",936355335 ,nacional@air-val.com,http://www.air-val.com,Química - Farmàcia - Sanitat,41.285576,1.99535,"(41.285576, 1.99535)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4360,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Paneles Embo, SL","carrer miquel servet, 31, 08850 Gavà",936333840 ,info@panelesembo.com,http://www.panelesembo.com,Construcció i derivats,41.2862,1.996508,"(41.2862, 1.996508)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4576,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Pronàutic, SL","carrer miquel servet, 9, 08850 Gavà",936333680 ,info@pronautic.net,http://www.pronautic.es,Automoció,41.283863,1.993175,"(41.283863, 1.993175)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4593,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Gudama, SCCL","carrer montflorit, 25, 08850 Gavà",936336963 ,,,Siderúrgia - Metal·lúrgia - Maquinària,41.300346,2.001624,"(41.300346, 2.001624)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4484,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Pedro González Fuentes,"carrer montserrat roig, 14,  2n. 3a., 08850 Gavà",936384443 ,pedro@naratic.es,,Tecnologia - Telecomunicacions,41.3095,1.990922,"(41.3095, 1.990922)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1121,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"HIGHMAINT 92, SL","carrer progrés, 2, 08850 Gavà",902370330 ,administracio@highmaint92.es,http://www.highmaint92.es,Altres serveis a empreses,41.295933,2.00575,"(41.295933, 2.00575)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5184,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Recielca, SL","carrer progrés, 2, 08850 Gavà",936382383 ,compras@jzrecielca.com,http://www.jzrecielca.com,Electricitat - Electrònica - Òptica,41.295933,2.00575,"(41.295933, 2.00575)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4530,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"SUSA Gestió, SCP","carrer progrés, 27, 08850 Gavà",935171471 ,info@susagestio.es,http://www.susagestio.es,Immobiliari,41.30077,2.013401,"(41.30077, 2.013401)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5182,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Sylvia Cabo González,"carrer progrés, 27, 08850 Gavà",635473742 ,info@fca-consulting.es,http://www.fca-consulting.es,Altres serveis a empreses,41.30077,2.013401,"(41.30077, 2.013401)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5183,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Correos,"carrer progrés, 27, 08850 Gavà",936336841 ,suc1_gava.barcelona@correos.com,http://www.correos.es,Altres serveis a empreses,41.30077,2.013401,"(41.30077, 2.013401)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4417,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Restaurant Les Massotes,"carrer progrés, 27, 08850 Gavà",931863919 ,arroyonarciso@gmail.com,,Alimentació - Restauració,41.30077,2.013401,"(41.30077, 2.013401)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5528,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Cuines Castro, SL","carrer progrés, 37, 08850 Gavà",936628556 ,info@cuinescastro.com,http://www.cuinescastro.com,Fusta - Mobles,41.29923,2.011916,"(41.29923, 2.011916)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4422,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Seals Automoción, SL","carrer progrés, 42-44, 08850 Gavà", ,,,Altres serveis a empreses,41.298195,2.009489,"(41.298195, 2.009489)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=1601,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
Fusion Lab S.L.,"carrer progrés, 53, 08850 Gavà",931648672 ,,http://www.esdemarca.com/,Logística - Distribució - Transport,41.29767,2.00935,"(41.29767, 2.00935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=2901,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Cotesa de Cornellà, SA (Diez x Diez)","carrer progrés, 76-78, 08850 Gavà",936383377 ,info@diezxdiez.es,http://www.diezxdiez.es,Tèxtil - Calçat - Confecció,41.295933,2.00575,"(41.295933, 2.00575)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4419,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Excaserga, SL","carrer ramon muntaner, 1, 08850 Gavà",936355035 ,,http://www.excaserga.com,Construcció i derivats,41.302544,1.997011,"(41.302544, 1.997011)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4454,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
José Maria Terol Ginés,"carrer riu fluvià, 32, 08850 Gavà", ,,,Arts gràfiques - Impressió - Paper,41.31267,1.988704,"(41.31267, 1.988704)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4524,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
Tallers Can Tries,"carrer riu fluvià, 32, 08850 Gavà",936382137 ,,,Construcció i derivats,41.31267,1.988704,"(41.31267, 1.988704)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4634,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
"Filtros Cartes Catalunya, SL","carrer roda, 12, 08850 Gavà",932319850 ,ventascat@filtroscartes.com,http://www.filtroscartes.com,Automoció,41.30371,2.005636,"(41.30371, 2.005636)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4461,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Initial Textiles e Higiene, S.L.","carrer roda, 2-4, 08850 Gavà",936811322 ,melissa.izquierdo@rentokil-initial.com,http://www.rentokil-initial.com,Altres serveis a empreses,41.30371,2.005636,"(41.30371, 2.005636)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4501,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Acerinox, SA","carrer rourell, 32 - 34, 08850 Gavà",936351500 ,juan.esteve@acerinox.com,http://www.acerinox.es,Siderúrgia - Metal·lúrgia - Maquinària,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4358,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"Diseño y Comercialización del Embalaje, SLU","carrer rourell, 35, 08850 Gavà", ,,,Arts gràfiques - Impressió - Paper,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5299,http://continguts.intra.gavaciutat.net/documents/76203/2268237/industria.png
"AD Bosch Recanvis, SLU","carrer ciència, 18, 08850 Gavà", ,,,Taller mecànic - Reparacions - Concessionari,41.29873,2.01303,"(41.29873, 2.01303)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=5583,http://continguts.intra.gavaciutat.net/documents/76203/2268237/serveis.png
"Transportes Pedro Andreu, SA","carrer rourell, 35, 08850 Gavà",901120118 ,info@transportespedroandreu.com,http://www.transportespedroandreu.com,Construcció i derivats,41.302826,2.001935,"(41.302826, 2.001935)",http://portals.ajuntament.gava.cat/scdirectorimunicipal/app.html?id=4647,http://continguts.intra.gavaciutat.net/documents/76203/2268237/construccio.png
