EXPEDIENTE;ASUNTO;F_ADJUDICA;PRECIO;EMPRESA
2014/CONSOC0133;ADQUISICIÓN DE HERRAMIENTAS Y MATERIALES BÁSICOS PARA LAS SALAS DE TALLER DEL C.C SALBURUA;27/11/2014;796,39;SUMINISTROS ROZAS RICARDO GUTIERREZ DE ROZAS BOVEDA
2014/CONSOC0082;SUMINISTRO E INSTALACIÓN DE UN SISTEMA DE ARCOS ANTIHURTO PARA LA BIBLIOTECA DEL CENTRO CÍVICO SALBURUA;28/11/2014;18.275,84;SISTEMAS, COMUNICACIONES Y VIGILANCIA,S. L.
2014/CONSOC0088;SUMINISTRO E INSTALACIÓN DEL SISTEMA DE CONTROL DE ACCESOS A LA PISCINA DEL C.C. SALBURUA.;28/11/2014;20.000,00;GADD GRUPO MEANA
2014/CONSOC0091;SISTEMA DE CONTROL DE AFLUENCIA PERSONAS EN EL CENTRO CÍVICO SALBURUA;28/11/2014;20.630,50;DINYCON SISTEMAS
2014/CONASO0375;SERVICIO DE FORMACIÓN PARA IMPULSAR LA PRESENCIA Y EL USO DEL EUSKERA EN EL ÁMBITO DEL OCIO Y DEL DEPORTE;28/11/2014;7.250,00;EBETE HIZKUNTZA-ZERBITZUAK S.COOP.TXIKIA
2014/CONASO0376;DISEÑO, PROGRAMACIÓN Y PUESTA EN MARCHA DEL CURSO SOCIOLINGÜÍSTICA PARA JÓVENES;28/11/2014;16.698,00;EMUN KOOP.ELKARTEA
2014/CONASP0413;CONTRATO MENOR DE ORGANIZACIÓN DE LA ES CUELA DE JÓVENES ESCRITORES;28/11/2014;;PATXI ZUBIZARRETA DORRONSORO
2014/CONASO0414;MANTENIMIENTO DEL ASCENSOR DEL POLIDEPORTIVO ARANALDE;28/11/2014;865,08;ELECTRA VITORIA S.COOP. LTDA.
2014/CONSOC0134;ADQUISICIÓN DE ELEMENTOS TECNOLÓGICOS CON DESTINO A LA RED DE BIBLIOTECAS MUNICIPALES DE VITORIA-GASTEIZ;28/11/2014;21.388,35;DERTEN SISTEMAS, S.A.
2014/CONSOC0135;"ADQUISICIÓN DE ""E-READERS"" CON DESTINO A LA RED DE BIBLIOTECAS MUNICIPALES DE VITORIA-GASTEIZ";28/11/2014;;DERTEN SISTEMAS, S.A.
2014/CONSOC0100;ADQUISICIÓN DE LICENCIAS DE PRODUCTOS IBM;01/12/2014;7.301,14;ECNA INFORMATICA, S.L.
2014/CONASO0392;CONFECCIÓN DE UN DOCUMENTO QUE RECOJA UNA ESTRATEGIA INTEGRADA O PLAN ESTRATEGICO A TRAVES DE ACTUACIONES DE AYTO EN MATERIA SOCIAL, EC Y MEDIOAMBIEN;01/12/2014;11.798,00;INFORMACIÓN Y DESARROLLO S.L. (INFYDE)
2014/CONASO0429;CONTRATACIÓN DE LA VERBENA DEL DÍA 14 DE FEBRERO DE 2015 EN LA PLAZA DE ESPAÑA DURANTE LOS CARNAVALES DE VITORIA- GASTEIZ;01/12/2014;7.260,00;IREGUA PRODUCCIÓN Y CONTRATACIÓN DE ESPECTÁCULOS S.L.
2014/CONASO0317;EXPLOTACION DE LA BIKE STATION DE VITORIA-GASTEIZ.;02/12/2014;;BIZIESKOLA S.C
2014/CONASP0342;SERVICIO PARA LA ORGANIZIÓN Y REALIZA- CIÓN ACTIVIDADES FORMACIÓN Y GESTIÓN EN EL ÁMBITO DE HORTICULTURA DE OCIO;02/12/2014;9.601,35;GALEMYS, S.L.
2014/CONASO0358;SERVICIO PARA LA ORGANIZACIÓN Y REALIZA CIÓN DE LABORES DIVERSAS ASOCIADAS A LA REALIZACIÓN DE PLANTACIONES ANILLO VERDE;02/12/2014;5.000,00;GALEMYS, S.L.
2014/CONASO0417;GESTION Y EJECUCION DE UN PROYECTO DE INTEGRACION JUVENIL EN LA ZONA DEL CASCO VIEJO Y EL ENSANCHE;02/12/2014;9.530,00;EMAIZE CENTRO SEXOLOGICO S.L.
2014/CONAEI0374;"REDACCIÓN DE UN ESTUDIO SOBRE EL IMPACTO EN LA SALUD DEL ""FENÓMENO LONJAS VACÍAS""";03/12/2014;12.584,00;INGURU INGENIERIA Y GESTION AMBIENTAL SL
2014/CONASO0387;SERVICIOS DE ASESORAMIENTO PARA EL DISEÑO DE PROYECTOS SOBRE ADICCIONES Y SU EVALUACIÓN;03/12/2014;9.169,00;INSTITUTO DEUSTO DE DROGODEPENDENCIAS (UNIVERSIDAD DE DEUSTO)
2014/CONSOC0127;ADQUISICIÓN DE UN VEHÍCULO USADO PARA EL CENTRO DE PROTECCIÓN ANIMAL;03/12/2014;14.890,00;E. RENTING S.L.
2014/CONASO0395;MANTENIMIENTO Y CONSERVACIÓN DEL JARDIN VERTICAL DEL PALACIO DE CONGRESOS EUROPA;04/12/2014;17.000,00;URBASER S.A.
2014/CONAEI0426;APROBACIÓN DEL GASTO Y ADJUDICACIÓN DEL CONTRATO PARA REALIZACIÓN DE PROYECTO CONSTRUCTIVO DE FASE IIB DE AMPLIACIÓN Y ADECUACIÓN DEL VERTEDERO DE GARDELEGUI A;04/12/2014;15.125,00;GRUPOTEC, SERVICIOS DE INGENIERÍA S.L.
2014/CONSOC0138;SUMINISTRO DE UNA FURGONETA DE 2ª MANO RENAULT MASTER MATRÍCULA 6147CBJ CON DESTINO AL DEPARTAMENTO DE MANTENIMIENTO DE EDIFICIOS MUNICIPALES;05/12/2014;5.000,00;NEUMÁTICOS ABAROA, S.L.U.
2014/CONASO0428;SERVICIO DE MANTENIMIENTO DEL ASCENSOR RAE 120705 DEL CENTRO SOCIAL DE ADURTZA;05/12/2014;842,16;THYSSENKRUPP ELEVADORES S.L.U.
2014/CONSPE0139;SUMINISTRO DE UN SISTEMA DE PURIFICACIÓN DE AGUA PARA EL LABORATORIO MUNICIPAL;10/12/2014;19.269,76;MERCK MILLIPORE, MERCK CHEMICALS AND LIF E SCIENCE, S.A.U.
2014/CONASO0360;SERVICIO PARA EL DESARROLLO DEL PROGRAMA HOGARES VERDES EN VITORIA-GASTEIZ.;11/12/2014;18.845,75;BRAVO MATEOS, MARIA TERESA ATARI CONSULTORA SOSTENIBLE
2014/CONASO0361;SERVICIO PRA IMPARTICIÓN DE FORMACIÓN EN CIRCULACIÓN CICLISTA PARA SATISFACER EL EXCESO DE DEMANDA DE CURSOS DE CIRCULA CION SEGURA EN BICICLETA.;11/12/2014;20.000,00;BIZIESKOLA S.C
2014/CONASO0380;FORMACIÓN EN EL ÁMBITO DE LAS HABILIDADES PERSONALES PARA EMPRENDER, COFINANCIADO POR LANBIDE DENTRO DEL PLAN DE EMPLEO COMARCAL.;11/12/2014;2.800,00;EVOLERS ENTERPRISE SL
2014/CONASO0382;FORMACIÓN EN EL ÁMBITO DE LAS FINANZAS PRÁCTICAS PARA LAS NUEVAS EMPRESAS, COFINANCIADO POR LANBIDE DENTRO DEL PLAN DE EMPLEO COMARCAL.;11/12/2014;3.600,00;CONSULTORIA TECNOLOGICA PARA EL COMERCIO S.L. (CONSULTEC )
2014/CONASO0384;FORMACIÓN EN EL ÁMBITO DEL MARKETING PARA NUEVAS EMPRESAS, COFINANCIADO POR LANBIDE DENTRO DEL PLAN DE EMPLEO COMARCAL;11/12/2014;4.200,00;GESTIONA XXI CONSULTING S.L.
2014/CONASO0385;FORMACIÓN EN EL ÁMBITO DE LAS OBLIGACIONES LEGALES DE LA NUEVA EMPRESA COFINANCIADO POR LANBIDE DENTRO DEL PLAN DE EMPLEO COMARCAL.;11/12/2014;4.200,00;BULTZ-LAN CONSULTING
2014/CONASO0386;FORMACIÓN EN EL ÁMBITO DE LAS TIC'S Y SU NECESIDAD Y APORTACIÓN A LA CREACIÓN Y DESARROLLO DE NUEVAS EMPRESAS, COFINANC. POR LANBIDE DENTRO DE PLAN EMPLEO COMAR;11/12/2014;2.400,00;CONSULTORIA TECNOLOGICA PARA EL COMERCIO S.L. (CONSULTEC )
2014/CONASO0388;FORMACIÓN EN EL ÁMBITO DEL PRE EMPRENDIMIENTO Y LA GENERACIÓN DE MODELO DE NEGOCIO, CONFINANCIADO POR LANBIDE DENTRO DEL PLAN DE EMPLEO COMARCAL.;11/12/2014;4.065,60;ORTIZ DE URTARAN JORGE(COACH GASTEIZ)
2014/CONSOC0122;ADQUISICIÓN DE 10 RACK´S PARA EL NUEVO CPD DE LAS OFICINAS DE SAN MARTÍN;11/12/2014;18.266,85;VYDEKTRA S.L.
2014/CONOOR0162;TRABAJOS DE EJECUCIÓN DE CAMINOS EN EL PARQUE PRÓXIMO A LA CALLE FLORIDA, DE VITORIA-GASTEIZ;11/12/2014;19.552,40;CONSTRUCCIONES AGUILLO S.A.
2014/CONASO0432;CONTRATO MENOR SUMINISTRO METACRILATOS, SISTEMA PORTACARTELES Y BUZÓN SUGERENCIA S PARA CSCM LAKUA-ARRIAGA;11/12/2014;4.412,33;VIDRIOS ALISTE, S.L.
2014/CONSOC0141;SUMINISTRO DE UN SISTEMA DE DIGESTIÓN ÁCIDA POR MICROONDAS PARA EL LABORATORIO MUNICIPAL;11/12/2014;20.285,65;GOMENSORO, INSTRUMENTACION CIENTÍFICA
2014/CONASO0434;MANTENIMIENTO DEL ASCENSOR RAE 120161 EN LAS MURALLAS PREFUNDACIONALES;11/12/2014;1.134,36;ELECTRA VITORIA S.COOP. LTDA.
2014/CONSOC0142;APROBACIÓN Y ADJUDICACIÓN DEL CONTRATO MENOR DE ADQUISICIÓN DE UN ROTOR DE ALTA PRESION PARA SISTEMA DE DIGESTIÓN ÁCIDA PARA EL LABORATORIO MUNICIPAL;11/12/2014;14.212,66;GOMENSORO, INSTRUMENTACION CIENTÍFICA
2014/CONOOR0175;APROBACIÓN DEL GASTO Y ABONO DE FACTURA A YARRITU SA POR REPARACIÓN DE VASO DE VERTEDERO DE GARDELEGUI;11/12/2014;29.161,73;YARRITU S.A.
2014/CONASP0435;APROBACIÓN DEL GASTO Y ABONO DE FACTURA A SU ALAI POR IMPARTICIÓN DE TALLERES DE MANIPULACIÓN DE ALIMENTOS DESTINADOS A PROMOVER HÁBITOS DE ALIMENTACIÓN SALUDAB;11/12/2014;6.449,58;SU ALAI, S.C.
2014/CONASP0436;APROBACIÓN DEL GASTO Y ABONO DE FACTURA A ROS ROCA POR MANTENIMIENTO DE CENTRAL DE RECOGIDA NEUMÁTICA HASTA LA FIRMA DEL NUEVO CONTRATO;11/12/2014;4.396,34;ROS ROCA, S.A.
2014/CONASO0391;CONTRATACION DE SECRETARIA TÉCNICA EN MATERIA DE USOS DEL TIEMPO, CONCILIACIÓN  Y CORRESPONSABILIDAD SOCIAL;12/12/2014;13.673,00;LKS INVESTIGACIÓN AVANZADA DE MERCADO Y MARKETING SL
2014/CONOOR0160;OBRAS DE RENOVACIÓN DE FIRME Y ACERAS EN EL ANTIGUO COLEGIO SITUADO EN LA CALLE ITURRIZABALA;12/12/2014;34.740,45;FIRMES ALAVESES, S.A.
2014/CONOOR0163;OBRAS DE ASFALTADO DE LAS CALLES DE LA ELM DE MANDOJANA;12/12/2014;37.331,72;FIRMES ALAVESES, S.A.
2014/CONASO0407;MANTENIMIENTO PREVENTIVO Y ACTUALIZACIÓN IN SITU DE LOS DESFIBRILADORES INSTALADOS EN LA RED DE ESPACIOS PÚBLICOS MUNICIPALES;12/12/2014;12.738,88;PHYSIO-CONTROL SPAIN SALES, S.R.L.
2014/CONOOR0172;TRABAJOS DE PLANTACIONES COMPLEMENTARIAS DE LA COLECCIÓN DEL ARBORETO DE LOS BOSQUES DE EUROPA;12/12/2014;17.649,48;EUROSERVICIOS Y OBRAS FORESTALES, S.A.
2014/CONAEI0418;REDACCIÓN DE UN ESTUDIO SOBRE INFRAESTRUCTURA VERDE Y FUNCIÓN SOCIAL, EN VITORIA-GASTEIZ;12/12/2014;15.158,98;TORRENE CONSULTING S.L.
2014/CONAEI0419;REDACCIÓN DE UN ESTUDIO SOBRE INFRAESTRUCTURA VERDE Y SALUD, EN VITORIA-GASTEIZ;12/12/2014;14.875,00;CIMAS, INNOVACIÓN Y MEDIO AMBIENTE S.L.L
2014/CONAEI0420;ELABORACIÓN DE UN ESTUDIO DE INFRAESTRUCTURA VERDE Y BIODIVERSIDAD, EN VITORIA-GASTEIZ;12/12/2014;13.725,00;EQUINOCCIO NATURA SC
2014/CONAEI0422;ELABORACIÓN DE UN ESTUDIO SOBRE LA INTEGRACIÓN NORMATIVA DE LA INFRAESTRUCTURA VERDE Y EL PAISAJE EN VITORIA-GASTEIZ;12/12/2014;14.000,00;ZUÑIGA SAGREDO, IRENE
2014/CONOOR0174;MODIFICACION DE VARIAS PUERTAS SITUADAS EN LOS RECORRIDOS DE EVACUACION EN EL CENTRO CIVICO LAKUA 03;12/12/2014;38.082,82;CRESA S.L.
2014/CONASO0391;CONTRATACION DE SECRETARIA TÉCNICA EN MATERIA DE USOS DEL TIEMPO, CONCILIACIÓN  Y CORRESPONSABILIDAD SOCIAL;13/12/2014;13.673,00;LKS, S. COOP.
2014/CONSOC0115;ADQUISICIÓN DEL VESTUARIO DE TRABAJO PARA EL ALUMNADO DE LOS CURSOS DE FORMACIÓN PARA EL EMPLEO DESARROLLADOS POR EL AYUNTAMIENTO DE VITORIA-GASTEIZ;16/12/2014;12.429,12;IRUÑAKO PROTEK S.L
2014/CONSOC0126;SUMINISTRO Y COLOCACIÓN DE JUEGOS BIOSALUDABLES EN ABETXUKO;18/12/2014;13.618,26;YOR, S.A.
2014/CONSPE0123;SUMINISTRO DE PIENSO PARA EL CENTRO DE PROTECCIÓN ANIMAL DE ARMENTIA, AÑO 2015;23/12/2014;10.000,00;ANOGA S.COOP
2014/CONSPE0136;RENOVACION DEL DERECHO DE USO DE LAS SUSCRIPCIONES Y SOPORTE DE SOFTWARE DE IBM BAJO PASSPORT ADVANTAGE Y SWMA;23/12/2014;12.594,21;BT ESPAÑA, COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A.
2014/CONASO0430;SERVICIO DE PELUQUERÍA Y ESTÉTICA EN EL CIAM SAN PRUDENCIO;30/12/2014;6.336,67;JUSTE MARTÍNEZ TERESA
